[2026-03-07 02:22:38,274] INFO: User 'שחר יהודה יאני' logged out successfully.
[2026-03-07 12:23:48,299] INFO: User ID 1 logged in.
[2026-03-07 14:19:36,313] WARNING: Login failed for 'רוני'.
[2026-03-07 14:19:41,922] INFO: User ID 23 logged in.
[2026-03-07 14:19:47,583] INFO: User 'רוני' logged out successfully.
[2026-03-07 14:20:04,215] INFO: User ID 23 logged in.
[2026-03-07 14:35:07,832] INFO: User 'רוני' logged out successfully.
[2026-03-07 17:39:07,988] INFO: User ID 23 logged in.
[2026-03-08 01:19:33,895] INFO: User 'רוני' logged out successfully.
[2026-03-08 01:45:59,628] INFO: User 'שחר יהודה יאני' logged out successfully.
[2026-03-08 11:46:01,670] INFO: User ID 1 logged in.
[2026-03-08 15:28:55,473] INFO: User ID 23 logged in.
[2026-03-08 15:29:46,667] INFO: User 'רוני' logged out successfully.
[2026-03-08 15:46:10,896] INFO: User ID 21 logged in.
[2026-03-08 15:46:30,381] INFO: User 'איתי' logged out successfully.
[2026-03-08 21:56:29,113] INFO: User ID 23 logged in.
[2026-03-08 23:31:04,941] INFO: User 'שחר יהודה יאני' logged out successfully.
[2026-03-08 23:31:21,612] INFO: User 'רוני' logged out successfully.
[2026-03-09 11:52:47,527] INFO: User ID 1 logged in.
[2026-03-09 13:12:13,507] INFO: User ID 23 logged in.
[2026-03-09 18:37:52,635] INFO: User 'שחר יהודה יאני' logged out successfully.
[2026-03-09 18:43:25,150] INFO: User ID 1 logged in.
[2026-03-09 21:28:17,052] INFO: User 'שחר יהודה יאני' logged out successfully.
[2026-03-09 21:28:35,176] INFO: User ID 1 logged in.
[2026-03-09 22:09:33,635] INFO: User 'רוני' logged out successfully.
[2026-03-09 22:09:55,218] INFO: User 'שחר יהודה יאני' logged out successfully.
[2026-03-10 12:33:57,003] INFO: User ID 1 logged in.
[2026-03-10 13:36:40,371] INFO: User 'שחר יהודה יאני' logged out successfully.
[2026-03-10 14:02:31,521] INFO: User ID 1 logged in.
[2026-03-10 14:28:14,931] INFO: User 'שחר יהודה יאני' logged out successfully.
[2026-03-10 14:33:08,834] WARNING: Login failed for 'שחר יהודה יאני'.
[2026-03-10 14:33:15,792] INFO: User ID 1 logged in.
[2026-03-10 14:36:55,031] INFO: User 'שחר יהודה יאני' logged out successfully.
[2026-03-10 21:39:36,933] INFO: User ID 1 logged in.
[2026-03-10 23:47:56,267] INFO: User 'שחר יהודה יאני' logged out successfully.
[2026-03-11 09:42:42,108] INFO: User ID 1 logged in.
[2026-03-11 09:50:03,180] INFO: User 'שחר יהודה יאני' logged out successfully.
[2026-03-11 22:35:25,050] INFO: User ID 1 logged in.
[2026-03-11 22:55:55,752] INFO: User ID 23 logged in.
[2026-03-11 23:01:12,861] INFO: User 'רוני' logged out successfully.
[2026-03-12 01:26:44,338] INFO: User 'שחר יהודה יאני' logged out successfully.
[2026-03-13 12:03:32,552] INFO: User ID 1 logged in.
[2026-03-13 12:57:51,191] ERROR: Error creating user: table users has no column named email
[2026-03-13 15:09:23,992] INFO: User 'שחר יהודה יאני' logged out successfully.
[2026-03-13 15:09:27,987] WARNING: Login failed for 'יובל'.
[2026-03-13 15:09:33,901] INFO: User ID 1 logged in.
[2026-03-13 15:11:51,909] INFO: User 'שחר יהודה יאני' logged out successfully.
[2026-03-13 15:11:55,670] INFO: User ID 2 logged in.
[2026-03-13 15:11:57,804] INFO: User 'יובל' logged out successfully.
[2026-03-13 15:12:01,348] INFO: User ID 1 logged in.
[2026-03-13 15:52:54,216] INFO: User 'יובל' (ID: 2) updated: type=0, admin=False by שחר יהודה יאני.
[2026-03-13 15:53:59,217] INFO: User 'יובל' (ID: 2) updated: type=0, admin=False by שחר יהודה יאני.
[2026-03-13 15:54:43,830] INFO: User 'יובל' (ID: 2) updated: type=0, admin=False by שחר יהודה יאני.
[2026-03-13 15:54:51,792] INFO: User 'יובל' (ID: 2) updated: type=0, admin=False by שחר יהודה יאני.
[2026-03-13 15:57:32,208] INFO: User 'יובל' (ID: 2) updated: type=0, admin=False by שחר יהודה יאני.
[2026-03-13 18:51:26,495] INFO: User 'שחר יהודה יאני' logged out successfully.
[2026-03-13 23:00:26,526] INFO: User ID 1 logged in.
[2026-03-14 02:01:16,987] INFO: User 'שחר יהודה יאני' logged out successfully.
[2026-03-14 12:53:29,643] INFO: User ID 1 logged in.
[2026-03-14 13:09:56,725] INFO: User 'יובל' (ID: 2) updated: type=0, admin=False by שחר יהודה יאני.
[2026-03-14 13:10:03,370] INFO: User 'יובל' (ID: 2) updated: type=0, admin=False by שחר יהודה יאני.
[2026-03-14 14:05:19,256] INFO: User 'שחר יהודה יאני' logged out successfully.
[2026-03-14 17:05:08,132] INFO: User ID 1 logged in.
[2026-03-14 18:50:26,434] INFO: User 'שחר יהודה יאני' logged out successfully.
[2026-03-14 18:50:29,337] INFO: User ID 2 logged in.
[2026-03-14 18:51:10,473] INFO: User 'יובל' logged out successfully.
[2026-03-14 18:51:17,555] INFO: User ID 1 logged in.
[2026-03-14 18:51:39,149] INFO: User 'יובל' (ID: 2) updated: type=1, admin=False by שחר יהודה יאני.
[2026-03-14 18:51:43,581] INFO: User 'יובל' (ID: 2) updated: type=0, admin=False by שחר יהודה יאני.
[2026-03-14 18:52:00,398] INFO: User 'שחר יהודה יאני' logged out successfully.
[2026-03-14 18:52:03,613] INFO: User ID 4 logged in.
[2026-03-14 18:52:11,083] INFO: User 'יוסי' logged out successfully.
[2026-03-14 18:52:15,703] INFO: User ID 1 logged in.
[2026-03-14 21:55:37,521] INFO: User 'שחר יהודה יאני' logged out successfully.
[2026-03-15 12:28:04,178] INFO: User ID 1 logged in.
[2026-03-15 14:27:30,226] INFO: User 'שחר יהודה יאני' logged out successfully.
[2026-03-15 18:35:02,484] INFO: User ID 1 logged in.
[2026-03-15 22:34:21,251] INFO: User 'שחר יהודה יאני' logged out successfully.
[2026-03-16 17:34:54,314] WARNING: Login failed for 'שחר יהודה יאני'.
[2026-03-16 17:35:43,600] WARNING: Login failed for 'שחר יהודה יאני'.
[2026-03-16 17:35:53,321] WARNING: Login failed for 'שחר יהודה יאני'.
[2026-03-16 17:37:49,519] WARNING: Login failed for 'שחר יהודה יאני'.
[2026-03-16 17:37:53,258] INFO: User ID 5 logged in.
[2026-03-16 17:37:53,377] INFO: User ID 5 logged in.
[2026-03-16 17:38:23,259] INFO: User 'רוני' logged out successfully.
[2026-03-16 17:38:29,272] INFO: User ID 1 logged in.
[2026-03-16 17:40:19,878] INFO: User 'שחר יהודה יאני' logged out successfully.
[2026-03-16 17:40:19,902] INFO: Unknown user logged out.
[2026-03-16 17:46:48,818] INFO: User 'שחר יהודה יאני' logged in.
[2026-03-16 17:46:51,218] INFO: User 'שחר יהודה יאני' logged out successfully.
[2026-03-16 17:47:25,570] WARNING: Login failed for 'ads'.
[2026-03-16 17:47:43,490] WARNING: Login failed for 'ads'.
[2026-03-16 17:47:49,541] INFO: User 'שחר יהודה יאני' logged in.
[2026-03-16 17:49:44,469] INFO: User 'יובל' (ID: 2) updated: type=0, admin=True by שחר יהודה יאני.
[2026-03-16 17:50:27,653] INFO: User 'שחר יהודה יאני' logged out successfully.
[2026-03-16 17:50:44,956] INFO: User 'שחר יהודה יאני' logged in.
